Tag,Umsatz_Statisch (₹),Umsatz_Dynamisch (₹),Marge_Statisch (₹),Marge_Dynamisch (₹)
1,2328863,2616735,684960,139519
2,2476470,2788854,728374,138723
3,2595090,2922621,763262,160199
4,2661097,3005928,782676,137574
5,2661097,3003803,782676,150158
6,2595090,2923413,763262,157449
7,2476470,2791861,728374,141934
8,2328863,2619452,684960,136516
9,2181792,2450137,641704,118690
10,2064203,2309652,607119,125248
11,1999072,2237023,587962,108338
12,1999072,2238119,587962,109464
13,2064203,2310182,607119,124196
14,2181792,2450249,641704,117191
15,2328863,2620941,684960,125165
16,2476470,2795575,728374,126517
17,2595090,2926343,763262,143674
18,2661097,3005372,782676,138124
19,2661097,3006310,782676,130259
20,2595090,2924026,763262,157664
21,2476470,2796604,728374,121318
22,2328863,2615505,684960,142475
23,2181792,2450599,641704,115736
24,2064203,2311009,607119,121894
25,1999072,2234270,587962,111097
26,1999072,2232312,587962,123190
27,2064203,2314831,607119,109697
28,2181792,2446186,641704,127096
29,2328863,2622620,684960,130431
30,2476470,2786816,728374,147935
